Newport,Newport,BayArea,BayArea,Newport,BayArea
Fst_hist,Fst_Mod,Fst_hist,Fst_Mod,deltaFst,deltaFst
-0.039002465,-0.033939394,-0.022112352,0.058655437,0.005063071,0.080767789
-0.039002465,-0.033939394,-0.022112352,0.058655437,0.005063071,0.080767789
-0.039002465,0,-0.022112352,-0.027232401,0.039002465,-0.005120049
-0.039002465,0,-0.022112352,-0.027232401,0.039002465,-0.005120049
-0.039002465,0.006087768,-0.022112352,0.033066667,0.045090233,0.055179019
-0.039002465,0.006087768,-0.022112352,0.033066667,0.045090233,0.055179019
-0.039002465,-0.041995465,-0.022112352,-0.023060874,-0.002993,-0.000948522
-0.039002465,-0.040035939,-0.022112352,-0.023060874,-0.001033474,-0.000948522
-0.039002465,0.063880597,-0.02202859,0.112902973,0.102883062,0.134931563
-0.039002465,0.119583333,-0.022017069,-0.002013392,0.158585798,0.020003677
-0.038913452,0.6,-0.022017069,0.016325691,0.638913452,0.03834276
-0.038913452,0.000536553,-0.022017069,0.016325691,0.039450005,0.03834276
-0.038913452,0.000536553,-0.022017069,0.016325691,0.039450005,0.03834276
-0.038784979,-0.031208791,-0.022017069,0.016325691,0.007576188,0.03834276
-0.038716108,0.006087768,-0.02201334,0.043632295,0.044803876,0.065645635
-0.038693572,0.06031746,-0.02201334,0.007565451,0.099011032,0.029578791
-0.038693572,0.06031746,-0.022004056,0.019616717,0.099011032,0.041620773
-0.038693572,0.000634921,-0.022003723,-0.016176005,0.039328493,0.005827718
-0.038693572,0.000634921,-0.021981671,-0.011494253,0.039328493,0.010487418
-0.038693572,-0.035866261,-0.021981671,-0.011494253,0.002827311,0.010487418
-0.038693572,0.074174757,-0.021981671,-0.023255814,0.112868329,-0.001274143
-0.038693572,0.074174757,-0.021981671,-0.023255814,0.112868329,-0.001274143
-0.038693572,0.067017544,-0.021981671,-0.025691216,0.105711116,-0.003709545
-0.038693572,0.067017544,-0.021981671,-0.026737421,0.105711116,-0.00475575
-0.038551635,-0.00058072,-0.021981671,-0.002287085,0.037970915,0.019694586
-0.038551635,-0.00058072,-0.021981671,-0.008106647,0.037970915,0.013875024
-0.03848408,0.072167619,-0.021981415,-0.016578637,0.110651699,0.005402778
-0.03848408,0.072167619,-0.021981415,-0.016578637,0.110651699,0.005402778
-0.038461538,-0.043478261,-0.021981415,0.149243944,-0.005016723,0.171225359
-0.038461538,-0.043478261,-0.021981415,0.149243944,-0.005016723,0.171225359
-0.038461538,0.04,-0.021953688,-0.017657597,0.078461538,0.004296091
-0.038461538,0.04,-0.021953688,-0.017657597,0.078461538,0.004296091
-0.038461538,0.026666667,-0.021953688,0.070696721,0.065128205,0.092650409
-0.038461538,0.026666667,-0.021953688,-0.025066853,0.065128205,-0.003113165
-0.038461538,0.065730428,-0.021953688,-0.013021077,0.104191966,0.008932611
-0.038461538,0.13010101,-0.021953688,-0.013021077,0.168562548,0.008932611
-0.038461538,0.13010101,-0.021920974,-0.016566005,0.168562548,0.005354969
-0.038461538,0.08,-0.021868243,-0.009295594,0.118461538,0.012572649
-0.038461538,0.08,-0.021865267,-0.014911296,0.118461538,0.006953971
-0.038461538,0,-0.021863743,-0.009579836,0.038461538,0.012283907
-0.038461538,0,-0.021842693,0.02900569,0.038461538,0.050848383
-0.038461538,0.025882353,-0.021842693,-0.025615626,0.064343891,-0.003772933
-0.038461538,0.025882353,-0.021842693,-0.025615626,0.064343891,-0.003772933
-0.038461538,0.047619048,-0.021842693,0.110528535,0.086080586,0.132371228
-0.038461538,0.047619048,-0.021842693,0.110528535,0.086080586,0.132371228
-0.038461538,0,-0.021842693,-0.026737421,0.038461538,-0.004894728
-0.038461538,0,-0.021842693,-0.026737421,0.038461538,-0.004894728
-0.038461538,0.047619048,-0.021842693,-0.010430429,0.086080586,0.011412264
-0.038461538,0.047619048,-0.021842693,-0.010430429,0.086080586,0.011412264
-0.038461538,0.095238095,-0.021842693,-0.016406175,0.133699633,0.005436518
-0.038461538,0.095238095,-0.021842693,-0.025691216,0.133699633,-0.003848523
-0.038461538,-0.004081633,-0.021842693,-0.025691216,0.034379905,-0.003848523
-0.038461538,-0.004081633,-0.021823385,0.044528216,0.034379905,0.066351601
-0.038461538,0.151462995,-0.021823385,0.044528216,0.189924533,0.066351601
-0.038461538,0.151462995,-0.021805024,0.002837583,0.189924533,0.024642607
-0.038461538,0.031746032,-0.021805024,0.002837583,0.07020757,0.024642607
-0.038461538,0,-0.021805024,-0.02442623,0.038461538,-0.002621206
-0.038461538,0.026666667,-0.021805024,-0.001091539,0.065128205,0.020713485
-0.038461538,0.097747899,-0.021805024,-0.001091539,0.136209437,0.020713485
-0.038461538,0.097747899,-0.021805024,-0.022630346,0.136209437,-0.000825322
-0.038461538,0,-0.021805024,-0.022630346,0.038461538,-0.000825322
-0.038461538,0,-0.021805024,0.018266979,0.038461538,0.040072003
